"","station","river","longitude","latitude","Yslopezyp","Yinterceptzyp","Ysigzyp","Yslopelm","Yintlm","Wslopezyp","Winterceptzyp","Wsigzyp","Wslopelm","Wintlm","Spslopezyp","Spinterceptzyp","Spsigzyp","Spslopelm","Spintlm","Sslopezyp","Sinterceptzyp","Ssigzyp","Sslopelm","Sintlm","Aslopezyp","Ainterceptzyp","Asigzyp","Aslopelm","Aintlm"
"1","REES","RHINE RIVER",6.395395,51.756918,-6.47619047619047,14110.3809523809,0.302589476108551,-5.94052631578944,13045.6488573998,-2.77333333333333,7037.57333333333,0.74376654624939,-4.17973009446698,9837.62404858308,-7.06666666666667,15781.3333333334,0.279615342617035,-9.12685560053993,20021.2496626183,-13.4666666666667,28609.6,0.00892389286309481,-12.7670580296899,27233.1758884397,-3.16666666666667,7594.66666666668,0.6690554022789,-3.43238866396752,8126.4251911829
"2","HATTINGEN","RUHR",7.161034,51.39975,0.0166666666666666,-11.1599999999999,0.314534664154053,-0.0321295546558681,86.6030481331487,0.00606060606060615,19.741212121212,0.820972561836243,-0.0233819163292898,84.1662627080623,-0.250714285714286,536.994761904762,0.0593238435685635,-0.228707152496645,496.218065677052,-0.0875000000000004,199.763333333334,0.290949881076813,-0.152492577597839,330.342249212771,0.0480808080808081,-72.4410101010101,0.199725389480591,0.0297260458839472,-34.8136302294329
"3","MENDEN 1","SIEG",7.159168,50.797901,-0.00383333333333336,15.8298333333334,0.801475405693054,-0.0367991902833993,82.2579916329254,0.0448484848484848,-67.8739393939392,0.840580940246582,0.0519952766531701,-79.8530366621657,-0.0995238095238093,222.88,0.435709893703461,-0.111096356275315,248.835635627552,-0.125050505050505,260.621535353535,0.113180078566074,-0.14585937921727,303.950313990096,0.0539047619047619,-98.4340000000001,0.174538016319275,0.0627450742240267,-114.860319388224
"4","DUESSELDORF","RHINE RIVER",6.770183,51.225547,-7.71578947368421,16479.6666666667,0.268584728240967,-7.04099865047227,15154.4349347727,-4.36363636363636,10083.2121212121,0.650845050811768,-4.9816059379217,11329.7926630679,-7.38666666666667,16294.64,0.268584728240967,-9.86431848852907,21378.2506522718,-14.6296296296296,30850.4444444445,0.00892389286309481,-13.2348448043188,28089.0571300051,-4.63478260869565,10450.3913043478,0.497212111949921,-4.50611336032373,10185.500224921
"5","EBNET","DREISAM",7.898793,47.987783,-0.00561666666666667,11.8083166666667,0.563056409358978,-0.00548973009446658,11.6187174673857,0.0189629629629629,-35.6034074074074,0.0783965587615967,0.0198893657219975,-37.3098454970764,0.0159583333333334,-28.99525,0.650845050811768,0.00714941970310363,-11.1093402609081,-0.0110714285714286,23.2705333333333,0.406682550907135,-0.0126596896086365,26.6053313540251,-0.00139,3.45714,0.860288739204407,0.00320086369770665,-5.5188897885757
"6","KOELN","RHINE RIVER",6.963293,50.936961,-6.78787878787879,14625.1515151515,0.279615342617035,-6.17914979757081,13407.9631803868,-2.81190476190476,6948.71666666667,0.762861132621765,-3.20556005398111,7746.09061628431,-6.31372549019607,14096.0784313725,0.302589476108551,-8.21653171390021,18039.6788124158,-12.1185185185185,25775.9555555555,0.0169098563492298,-11.6924291497978,24966.3369320743,-3.81609195402299,8792.11494252874,0.529614090919495,-3.59759784075564,8342.06405757965
"7","SCHERMBECK 1","LIPPE",6.85115,51.673858,-0.0466666666666669,111.02,0.144746616482735,-0.0517732793522268,121.373076023392,-0.00799999999999983,37.4986666666663,0.899954319000244,0.00356410256410089,17.6661282051315,-0.130344827586207,285.866436781609,0.151801511645317,-0.140074224021598,308.052550607299,-0.0824242424242424,184.486060606061,0.0305898506194353,-0.077446693657223,174.542959964019,-0.0447619047619047,107.392380952381,0.19105039536953,-0.0503306342780036,119.094943769683
"8","KAUB","RHINE RIVER",7.764967,50.085444,-5.21212121212122,11297.4727272727,0.268584728240967,-5.20091767881239,11286.2532433648,-0.485714285714282,2018.84761904761,0.919887661933899,-1.27385964912279,3610.85056680159,-2.73333333333334,6657.13333333334,0.563056409358978,-3.90218623481784,9048.86990553313,-10.7272727272727,22807.5757575758,0.00713690929114819,-10.7209581646427,22848.8975258666,-3.46666666666666,7937.79999999999,0.465897381305695,-3.76738191632919,8533.97067026523
"9","NAUHEIM","SCHWARZBACH",8.452623,49.950818,-0.00395952380952381,8.1331880952381,0.00198352220468223,-0.00408149797570853,8.38007513720203,-0.00235833333333334,5.110075,0.174538046121597,-0.00228309041835368,5.00256783175909,-0.00597435897435897,12.4219948717949,0.00960282888263464,-0.00571626180836737,11.9670996851108,-0.00563888888888889,11.5466888888889,0.000218902219785377,-0.00578122807017549,11.8471894736843,-0.00305185185185185,6.33301481481482,0.0560136325657368,-0.00369429149797563,7.62801889338716
"10","EPPSTEIN","SCHWARZBACH",8.399592,50.136749,-0.00345263157894737,7.11321754385965,0.0392275042831898,-0.00336991902834006,6.93894506072871,-0.00311428571428571,6.52428571428572,0.0442721731960773,-0.0046700000000001,9.7150770085472,-0.00789803921568627,16.321662745098,0.125085681676865,-0.00878506072874526,18.1780906882598,-0.0049963963963964,10.2761837837838,0.00567800318822265,-0.00563321187584329,11.5522818713447,-0.00347948717948718,7.17121025641026,0.0169098563492298,-0.00379641025641017,7.81232649572633
